Year,Place,P (Blank or P),Governing Body,Type of Governing Body,5+,Description,Verified,Specific,Reception,Protection,Contact Through Trade,Partial Emancipation,Symbolic,Full Emancipation,Invited,Success Altering Country,Bribe Ends Expulsion,Leader Ends Expulsion,Conquer Country,Self Governing,Noted Holding IP,Brought in for Economic Growth,Laws Protecting Israel/Jews
1608,Rome,P,,,,,,,,,,,,,,,,,,,,,
1608,Spain,P,,,,,,,,,,,,,,,,,,,,,
1609,"London, England",P,,,,,,,,,,,,,,,,,,,,,
1611,"Casale, Italy",P,,,,,,,,,,,,,,,,,,,,,
1612,"Casale, Italy",P,,,,,,,,,,,,,,,,,,,,,
1612,"Guine, Africa",P,,,,,,,,,,,,,,,,,,,,,
1612,"Rovigo, Italy",P,,,,,,,,,,,,,,,,,,,,,
1612,"Guine, Africa",,,,,"Natives and Portuguese Christians attempt to expel Jews; denied by King Baol of Lambaia after gifts/bribery (Kagen and Morgan, Atlantic Diasporas: Jews, Conversos, and Crypto-Jews in the Age of Mercantilism, 1500-1800’, p. 176, 283).",0,1,1,1,1,1,0,0,0,1,1,0,0,1,1,1,0
1612,"Hamburg, Germany",,,,,The Hamburg Senate decides to officially allow Jews to live in Hamburg on the condition there is no public worship.,,,,,,,,,,,,,,,,,
1613,"Neustadt, Germany",P,,,,,,,,,,,,,,,,,,,,,
1614,"Frankfurt, Germany",P,,,,,,,,,,,,,,,,,,,,,
1614,"Baden, Germany",P,,,,,,,,,,,,,,,,,,,,,
1615,France,P,,,,,,,,,,,,,,,,,,,,,
1615,"Worms, Germany",P,,,,,,,,,,,,,,,,,,,,,
1616,"Worms, Germany; Frankfurt, Germany; (technically the decree was for Germany as a whole)",,,,,"Dr. Chemnitz, advocated the expulsion of the Jews from Worms, whereupon the elector Frederick took the congregation under his protection; the opposition of the gilds, however, forced the Jews to emigrate (April 20, 1615), after which their synagogue was demolished, the cemetery laid waste, and the tombstones destroyed. After the suppression of the uprising by the troops of Frederick, an imperial decree was promulgated (Jan. 19 or 20, 1616) ordering both the palsgrave and the Bishop of Speyer to readmit the Jews; https://www.jewishencyclopedia.com/articles/15013-worms | Vincent Fettmilch, who called himself the ""new Haman of the Jews"", leads a raid on the Frankfurt Jewish quarter that turned into an attack that destroyed the whole community.|Tensions between the patricians and the guilds between 1612 and 1614 led to the Fettmilch uprising in 1614, named after its ringleader, Vincenz Fettmilch. During the riot, the Judengasse was attacked and looted, and the Jews were expelled from the city. Two Jews and one assailant were killed in the pogrom.|  initiated the Fettmilch uprisings (1612-1616), which lead to the storming of the Judengasse, (Jew’s Lane; Jewish Ghetto) on August 22, 1614. The Jews of Frankfurt were expelled for two years, until 1616, when the emperor intervened, retaking the city, and issuing an imperial ban on Fettmilch and his co-conspirators. Imperial soldiers guided the Jews back into Frankfurt, and Fettmilch was put to death in the Horse Market on February 28th, 1616. This had been one of the last pogroms in Germany, until the rise of the Nazi party in the 20th century. https://www.lbi.org/griffinger/record/247159 | In Frankfurt, that noble city, there are a large number of Jews, poor, rich, men, women and children. There are about four or five thousand. They had their own quarter and synagogue, which they were allowed to run according to their preferences. Through usury they became very wealthy and by swindling the Christians they took what was theirs. In the year 1614 on the 22nd of August, I heard that a large number of journeymen came who had planned to storm and plunder the Jewish quarter not sparing bodies or lives, many of which were indeed taken. On the 22nd of August between 6 and 7 o’clock, there was a great clamor outside the gate to the Jewish quarter. The Jews soon realized the evil and quickly closed off their quarter, bringing empty barrels, tables, and benches to build a bulwark behind their gate. They picked up paving stones and carried them up to their houses in order to throw them at the apprentices. They bravely fought back, but the apprentices soon managed to get into the quarter, forcefully ramming, pushing, and beating down the gate. Others stormed the first house while a third group used ladders to climb across the wall. https://germanhistory-intersections.org/en/germanness/ghis:image-232 ",,,,,,,,,,,,,,,,,
1618,German towns,P,,,,,,,,,,,,,,,,,,,,,
1618,Moravian towns,P,,,,,,,,,,,,,,,,,,,,,
1619,"Kiev, Russia",P,,,,,,,,,,,,,,,,,,,,,
1619,Persia,P,,,,,,,,,,,,,,,,,,,,,
1620,"Florence, Italy",P,,,,,,,,,,,,,,,,,,,,,
1622,Corfu,P,,,,,,,,,,,,,,,,,,,,,
1622,"Udine, Italy",P,,,,,,,,,,,,,,,,,,,,,
1622,"Pitigliano, Italy",P,,,,,,,,,,,,,,,,,,,,,
1623,"Piedmont, Italy",P,,,,,,,,,,,,,,,,,,,,,
1624,"Ferrara, Italy",P,,,,,,,,,,,,,,,,,,,,,
1624,"Lisbon, Portugal",P,,,,,,,,,,,,,,,,,,,,,
1625,"Vienna, Austria",P,,,,,,,,,,,,,,,,,,,,,
1626,"Mantua, Italy",P,,,,,,,,,,,,,,,,,,,,,
1628,"Casale, Italy",P,,,,,,,,,,,,,,,,,,,,,
1628,"Parma, Italy",P,,,,,,,,,,,,,,,,,,,,,
1629,"Mantua, Italy",P,,,,,,,,,,,,,,,,,,,,,
1629,Bohemia,,,,,Jewish life in Bohemia was disrupted by the Thirty Years' War (1618–48). In 1629 *Ferdinand II renewed and extended the privileges accorded to the Jews. (JVL),,,,,,,,,,,,,,,,,
1631,"Padua, Italy",P,,,,,,,,,,,,,,,,,,,,,
1632,"Geneva, Italy",P,,,,,,,,,,,,,,,,,,,,,
1632,Spain,P,,,,,,,,,,,,,,,,,,,,,
1633,"Radom, Poland",P,,,,,,,,,,,,,,,,,,,,,
1635,"Vilna, Lithuania",P,,,,,,,,,,,,,,,,,,,,,
1637,"Conegliano, Italy",P,,,,,,,,,,,,,,,,,,,,,
1638,Italy,,,,,"An outbreak of plague leads to a severe reduction in trade and industry throughout Italy. This reinforces the already existing interest of Italian princes in Jewish immigration and succeeds in attracting Jews from Spain, Brazil, Holland, and North Africa, from about 1645- late 1660's.",,,,,,,,,,,,,,,,,
1638,"Modena, Italy",P,,,,,,,,,,,,,,,,,,,,,
1639,"Bagnacavallo, Italy",P,,,,,,,,,,,,,,,,,,,,,
1639,"Massa, Italy",P,,,,,,,,,,,,,,,,,,,,,
1639,"Pisa, Italy",P,,,,,,,,,,,,,,,,,,,,,
1639,"Lenchitza, Kalisz, Pozan, Poland",P,,,,,,,,,,,,,,,,,,,,,
1639,"Rome, Italy",P,,,,,,,,,,,,,,,,,,,,,
1639,"Padua, Italy",P,,,,,,,,,,,,,,,,,,,,,
1639,"Turin, Italy",P,,,,,,,,,,,,,,,,,,,,,
1639,"Lima, Peru",P,,,,,,,,,,,,,,,,,,,,,
1647,Lisbon Portugal (literally shipped there from Brazilian colony),P,,,,,,,,,,,,,,,,,,,,,
1648,"Alsace, France",,,,,"Alsace was home to a significant number of Jews. In annexing the region (Martinique colony) in 1648, the French government was at first inclined toward the banishment of Jews living in those provinces but thought better of it in view of the benefit he could derive from them. On 25 September 1675, Louis XIV granted these Jews letters patent, taking them under his special protection. This, however, did not prevent them from being subjected to every kind of extortion, and their position remained the same as it had been under the Austrian government.",,,,,,,,,,,,,Martinique (French Colony),,,,
1648,"Ferrara, Italy",P,,,,,,,,,,,,,,,,,,,,,
1648,Ukraine,P,,,,,,,,,,,,,,,,,,,,,
1648,Poland,P,,,,,,,,,,,,,,,,,,,,,
1648,"Gorizia, Italy",P,,,,,,,,,,,,,,,,,,,,,
1648,"Volhynia, Lithuania",P,,,,,,,,,,,,,,,,,,,,,
1649,"Hamburg, Germany",P,,,,,,,,,,,,,,,,,,,,,
1649,Ukraine,P,,,,,,,,,,,,,,,,,,,,,
1649,Mexico,P,,,,,,,,,,,,,,,,,,,,,
1652,Lisbon,P,,,,,,,,,,,,,,,,,,,,,
1652,"Jassy, Moldovia, Romania",P,,,,,,,,,,,,,,,,,,,,,
1654,Little Russia (Belarus),P,,,,,,,,,,,,,,,,,,,,,
1654,"Recife, Brazil",P,,,,,,,,,,,,,,,,,,,,,
1654,"New Amsterdam, United States",P,,,,,,,,,,,,,,,,,,,,,
1655,England,,,,,Oliver Cromwell readmits Jews to England.,,,,,,,,,,,,,,,,,
1655,Poland,P,,,,,,,,,,,,,,,,,,,,,
1655,Russia,P,,,,,,,,,,,,,,,,,,,,,
1655,Sweden,P,,,,,,,,,,,,,,,,,,,,,
1655,"Tamobrzeg, Poland",P,,,,,,,,,,,,,,,,,,,,,
1655,"Sandomierz, Poland",P,,,,,,,,,,,,,,,,,,,,,
1656,Persia,P,,,,,,,,,,,,,,,,,,,,,
1656,Lithuania,P,,,,,,,,,,,,,,,,,,,,,
1656,"Isfahan, Persia",P,,,,,,,,,,,,,,,,,,,,,
1656,Tunisia,P,,,,,,,,,,,,,,,,,,,,,
1657,Iran,P,,,,,,,,,,,,,,,,,,,,,
1660,Lisbon,P,,,,,,,,,,,,,,,,,,,,,
1660,"Genoa, Italy",P,,,,,,,,,,,,,,,,,,,,,
1660,"London, England",,,,,"City petitions Charles II to expel Jews on restoration of Stuarts/Jewish commerce hurting England / unsuccessful (Johnathon Israel, ‘European Jewry in the Age of Mercantilism, 1550-1750’, p. 160).",,,,,,,,,,,,,,,,,
1660,"London, England",P,,,,,,,,,,,,,,,,,,,,,
1660,Seville,P,,,,,,,,,,,,,,,,,,,,,
1661,"Seville, Spain",P,,,,,,,,,,,,,,,,,,,,,
1661,"Isfahan, Persia (Modern Day Iran)",,,,,"In 1656, all Jews were expelled from Isfahan, because of the common belief of their impurity, and forced to convert to Islam. However, as it became known that the converts continued to practice Judaism in secret and because the treasury suffered from the loss of jizya collected from the Jews, they were allowed to revert to Judaism in 1661. H",1,1,1,0,1,1,0,0,1,0,0,1,0,1,1,1,0
1662,Corfu,,,,,"Between 1662 and 1664 all Jews in Corfu received equal status. Each of the communities had two ""overseers"" (syndikoi), two kashrut supervisors, and two parnasim.",,,,,,,,,,,,,,,,,
1662,"Hildersheim, Germany",,,,,1662 Elector Maximilian Henry of Bavaria published a letter of protection for the Jews of the city. The same year marked the promulgation of a new series of laws by Jewish authorities dealing with the government of the Jewish community.,,,,,,,,,,,,,,,,,
1662,Denmark,,,,,King Christian IV invites Jews to come and live in Denmark.,,,,,,,,,,,,,,,,,
1663,"Istanbul, Turkey",P,,,,,,,,,,,,,,,,,,,,,
1664,"Lvov, Ukraine",P,,,,,,,,,,,,,,,,,,,,,
1665,Jamaica,P,,,,,,,,,,,,,,,,,,,,,
1665,"Verona, Italy",P,,,,,,,,,,,,,,,,,,,,,
1666,Cayenne (French territory in the Caribbean),P,,,,,,,,,,,,,,,,,,,,,
1666,"Este, Italy",P,,,,,,,,,,,,,,,,,,,,,
1669,"Vienna, Austria",P,,,,,,,,,,,,,,,,,,,,,
1669,"Oran, Algeria, North Africa",P,,,,,,,,,,,,,,,,,,,,,
1669,"Reggio, Italy",P,,,,,,,,,,,,,,,,,,,,,
1670,Metz,P,,,,,,,,,,,,,,,,,,,,,
1670,"Vienna, Austria",P,,,,,,,,,,,,,,,,,,,,,
1671,Minsk,P,,,,,,,,,,,,,,,,,,,,,
1671,"Fulda, Germany",P,,,,,,,,,,,,,,,,,,,,,
1671,"Brandenburg, Germany",,,,,"When a number of Jews were admitted to Brandenburg in 1671, a new community grew up in Frankfurt.",,,,,,,,,,,,,,,,,
1678,Yemen,P,,,,,,,,,,,,,,,,,,,,,
1678,"Florence, Italy",P,,,,,,,,,,,,,,,,,,,,,
1679,"Turin, Italy",P,,,,,,,,,,,,,,,,,,,,,
1679,Yemen,P,,,,,,,,,,,,,,,,,,,,,
1679,"Piotrkow, Poland",,,,,"until 1679 when King John ii Sobieski permitted Jews to return, to trade there, and to build a synagogue (completed in 1689) https://www.encyclopedia.com/religion/encyclopedias-almanacs-transcripts-and-maps/piotrkow",,,,,,,,,,,,,,,,,
1679,Belarus,,,,," In 1679 King John III Sobieski granted a charter to the Jews, restoring their former privileges and promising them freedom of religion and commercial rights. This charter was renewed and confirmed by the kings of Poland in 1729 and 1759. ",,,,,,,,,,,,,,,,,
1680,"Madrid, Spain",P,,,,,,,,,,,,,,,,,,,,,
1680,"Luebeck, Germany",P,,,,,,,,,,,,,,,,,,,,,
1681,"Vilna, Lithuania",,,,,"Mob attacks against Jews in Vilna. It was condemned by King John Sobieski, who ordered the punishment of the guilty.|Mob Attacks                                                                                                                                                                                                        ",,,,,,,,,,,,,,,,,
1681,"Reggio, Italy",P,,,,,,,,,,,,,,,,,,,,,
1682,"Kaunas, Lithuania",P,,,,,,,,,,,,,,,,,,,,,
1682,"Bordeaux, France",P,,,,,,,,,,,,,,,,,,,,,
1682,Cracow,P,,,,,,,,,,,,,,,,,,,,,
1682,"Rome, Italy",P,,,,,,,,,,,,,,,,,,,,,
1682,"Lisbon, Portugal",P,,,,,,,,,,,,,,,,,,,,,
1682,"Marseilles, France",P,,,,,,,,,,,,,,,,,,,,,
1683,"Ferrara, Italy",P,,,,,,,,,,,,,,,,,,,,,
1683,"Rome, Italy",P,,,,,,,,,,,,,,,,,,,,,
1683,Moravia,P,,,,,,,,,,,,,,,,,,,,,
1683,Cayenne (French colony),P,,,,,,,,,,,,,,,,,,,,,
1683,Guadeloupe (French colony),P,,,,,,,,,,,,,,,,,,,,,
1683,"Uherský Brod, Hungary",P,,,,,,,,,,,,,,,,,,,,,
1683,"Padua, Italy",P,,,,,,,,,,,,,,,,,,,,,
1683,Martinique (French colony),P,,,,,,,,,,,,,,,,,,,,,
1683,"Santo Domingo, Hisponola (French colony)",P,,,,,,,,,,,,,,,,,,,,,
1684,"Trieste, Italy",P,,,,,,,,,,,,,,,,,,,,,
1684,"Buda, Hungary",P,,,,,,,,,,,,,,,,,,,,,
1686,"Buda, Hungary",P,,,,,,,,,,,,,,,,,,,,,
1687,Posen,P,,,,,,,,,,,,,,,,,,,,,
1689,Macedonia,P,,,,,,,,,,,,,,,,,,,,,
1689,"Worms, Germany",P,,,,,,,,,,,,,,,,,,,,,
1689,"Prague, Czech Republic",P,,,,,,,,,,,,,,,,,,,,,
1691,"Ferrara, Italy",P,,,,,,,,,,,,,,,,,,,,,
1691,"Palma, Majorca, Spain",P,,,,,,,,,,,,,,,,,,,,,
1693,"Trieste, Italy",P,,,,,,,,,,,,,,,,,,,,,
1695,"Trieste, Italy",P,,,,,,,,,,,,,,,,,,,,,
1696,"Évora, Portugal",P,,,,,,,,,,,,,,,,,,,,,
1697,"Tuscany, Italy",P,,,,,,,,,,,,,,,,,,,,,
1698,"Sandomierz, Poland",P,,,,,,,,,,,,,,,,,,,,,
1699,"Bamberg, Germany",P,,,,,,,,,,,,,,,,,,,,,
1700,"Monferrat, Italy",P,,,,,,,,,,,,,,,,,,,,,
1700,"Casale, Italy",P,,,,,,,,,,,,,,,,,,,,,
1700,"Finale, Italy",P,,,,,,,,,,,,,,,,,,,,,
1700,"Leghorn, Italy",P,,,,,,,,,,,,,,,,,,,,,
1702,"Sicily, Italy",P,,,,,,,,,,,,,,,,,,,,,
1702,"Modena, Italy",P,,,,,,,,,,,,,,,,,,,,,
1703,Germany,P,,,,,,,,,,,,,,,,,,,,,
1705,"Venice, Italy",P,,,,,,,,,,,,,,,,,,,,,
1705,"Viterbo, Italy",P,,,,,,,,,,,,,,,,,,,,,
1706,"Algiers, Algeria",P,,,,,,,,,,,,,,,,,,,,,
1708,"Pieve di Cento, Italy",P,,,,,,,,,,,,,,,,,,,,,
1710,"Geoningen, The Netherlands",P,,,,,,,,,,,,,,,,,,,,,
1711,"Ancona, Italy",P,,,,,,,,,,,,,,,,,,,,,
1712,"Sandomierz, Poland",P,,,,,,,,,,,,,,,,,,,,,
1715,"Bavaria, Germany",P,,,,,,,,,,,,,,,,,,,,,
1717,"Gibraltar, British Territory",P,,,,,,,,,,,,,,,,,,,,,
1718,"Carniola, Slovenia",P,,,,,,,,,,,,,,,,,,,,,
1718,"Carinthia, Slovenia",P,,,,,,,,,,,,,,,,,,,,,
1718,Yugoslavia,,,,,Jews in Belgrade play a significant role in trade during Austrian rule.,,,,,,,,,,,,,,,,,
1718,"Styria, Slovenia",P,,,,,,,,,,,,,,,,,,,,,
1720,Jerusalem,P,,,,,,,,,,,,,,,,,,,,,
1721,"Senigallia, Italy",P,,,,,,,,,,,,,,,,,,,,,
1721,Spain,P,,,,,,,,,,,,,,,,,,,,,
1724,"Radom, Poland",P,,,,,,,,,,,,,,,,,,,,,
1724,Yemen,P,,,,,,,,,,,,,,,,,,,,,
1724,"Vercelli, Italy",P,,,,,,,,,,,,,,,,,,,,,
1727,Ukraine,P,,,,,,,,,,,,,,,,,,,,,
1727,Russia,P,,,,,,,,,,,,,,,,,,,,,
1729,"Piedmont, Italy",P,,,,,,,,,,,,,,,,,,,,,
1730,"Cuorgne, Italy",P,,,,,,,,,,,,,,,,,,,,,
1734,Polish Ukraine,P,,,,,,,,,,,,,,,,,,,,,
1735,"Naples, Italy",,,,,Jews expelled from Naples; readmitted in 1735,,,,,,,,,,,,,,,,,
1736,"Modena, Italy",P,,,,,,,,,,,,,,,,,,,,,
1736,"Finale, Italy",P,,,,,,,,,,,,,,,,,,,,,
1736,Peru,P,,,,,,,,,,,,,,,,,,,,,
1736,"Correggio, Italy",P,,,,,,,,,,,,,,,,,,,,,
1737,"Jarosław, Poland",P,,,,,,,,,,,,,,,,,,,,,
1737,"St. Salvatore, Italy",P,,,,,,,,,,,,,,,,,,,,,
1737,"Genoa, Italy",P,,,,,,,,,,,,,,,,,,,,,
1738,"Wurtemburg, Germany",,,,,"The Countess of Würben procured the privilege of free trade for the Jews of Freudenthal (1728) and for those of Gochsheim (1729). Under Carl Alexander (1733-37), Oppenheimer was executed in 1738, and in the following year all the Jews were mercilessly expelled. They were soon permitted to return, but they were severely restricted in the exercise of their religion, as well as in their business; and the people were warned against having any dealings with them in monetary affairs. Court factors were treated more leniently, and important government contracts were given to them (1759, 1761, 1764) in spite of the objections of the populace. https://www.jewishencyclopedia.com/articles/15034-wurttemberg",,,,,,,,,,,,,,,,,
1738,"Wurtemburg, Germany",P,,,,,,,,,,,,,,,,,,,,,
1739,"Monastero, Italy",P,,,,,,,,,,,,,,,,,,,,,
1740,Little Russia (Beylorus),P,,,,,,,,,,,,,,,,,,,,,
1740,American Colonies under English Rule,,,,,The Plantation Act of 1740,,,,,,,,,,,,,,,,,
1740,"Sicily, Italy",,,,,"On 3 February 1740, King Charles issued a proclamation containing 37 paragraphs, in which Jews were formally invited to return to Sicily, from where they had been brutally expelled in 1492. This move had a little practical effect: though a few Jews did come to Sicily, though there was no legal impediment to their living there, they felt their lives insecure, and they soon went back to Turkey. Despite the King's goodwill, the Jewish community of Sicily which had flourished in the Middle East was not re-established. Still, this was a significant symbolic gesture, the King clearly repudiating a past policy of religious intolerance. Moreover, the expulsion of the Jews from Sicily had been an application of the Spanish Alhambra Decree - which would be repudiated in Spain itself only much later.",,,,,,,,,,,,,,,,,
1741,"Hildesheim, Germany",P,,,,,,,,,,,,,,,,,,,,,
1741,"Hildesheim, Germany",,,,," A relative of Joseph Suess *Oppenheimer (d. 1762), who served for many years as tax collector and finance minister to the bishops and was Landesrabbiner from 1732, interceded successfully on behalf of Jews without residence permits who were threatened with expulsion in 1741. (JVL)",,,,,,,,,,,,,,,,interceded on the jews behalf  who weren't given residents permits as a form of expulsion,Ruling Class (of Most Relevant Network)
1742,Russian Empire,P,,,,,,,,,,,,,,,,,,,,,
1743,"Riga, Latvia",P,,,,,,,,,,,,,,,,,,,,,
1743,"Dorpat, Livonia",P,,,,,,,,,,,,,,,,,,,,,
1744,Livonia,P,,,,,,,,,,,,,,,,,,,,,
1744,Hungary,P,,,,,,,,,,,,,,,,,,,,,
1744,Slovakia,P,,,,,,,,,,,,,,,,,,,,,
1744,"Sardinia, Italy",P,,,,,,,,,,,,,,,,,,,,,
1744,"Prague, Hungary",P,,,,,,,,,,,,,,,,,,,,,
1744,"Bohemia, Austria",P,,,,,,,,,,,,,,,,,,,,,
1744,"Breslau (Wrocław), Prussia/Germany",P,,,,,,,,,,,,,,,,,,,,,
1744,"Piotrkow, Poland",P,,,,,,,,,,,,,,,,,,,,,
1745,"Prague, Bohemia",P,,,,,,,,,,,,,,,,,,,,,
1745,Moravia,P,,,,,,,,,,,,,,,,,,,,,
1745,"Verona, Italy",P,,,,,,,,,,,,,,,,,,,,,
1746,"Radom, Poland",P,,,,,,,,,,,,,,,,,,,,,
1746,"Naples, Italy",P,,,,,,,,,,,,,,,,,,,,,
1746,"Naples, Italy",,,,,"Jews Expelled by King Charles IV of Bourbon (C. Roth, ‘The History of the Jews of Italy’, p. 351).|On 3 February 1740, King Charles issued a proclamation containing 37 paragraphs, in which Jews were formally invited to return to Sicily, from where they had been brutally expelled in 1492. This move had a little practical effect: though a few Jews did come to Sicily, though there was no legal impediment to their living there, they felt their lives insecure, and they soon went back to Turkey. Despite the King's goodwill, the Jewish community of Sicily which had flourished in the Middle East was not re-established. Still, this was a significant symbolic gesture, the King clearly repudiating a past policy of religious intolerance. Moreover, the expulsion of the Jews from Sicily had been an application of the Spanish Alhambra Decree - which would be repudiated in Spain itself only much later.",1,1,1,1,1,0,1,0,1,0,0,1,Turkey,,,jews emigrated back to Turkey where their inclusion was less nobility's showmanship,Inclusion Incongruence
1746,"Sicily, Italy",P,,,,,,,,,,,,,,,,,,,,,
1746,"Budapest, Hungary",P,,,,,,,,,,,,,,,,,,,,,
1749,Austria,,,,,"Originally: Maria Theresa threatened Moravian Jewry with expulsion (Jan. 2, 1745) but rescinded her order, permitting them to remain for another ten years. In 1748, however, she raised their toleration tax (Schutzgeld) from a total of 8,000 florins (since 1723) to 87,700 for the next five years and 76,700 in the following five; in 1752 the tax was fixed at 90,000 florins. Two years later the empress' definitive ""General Police Law and Commercial Regulations for the Jewry of the Margravate of Moravia"" appeared; as its name indicates it regulated all legal, religious, and commercial aspects of Jewish life in Moravia. But then The Jewish policy of Maria Theresa (1740–80) wavered between the mercantilism which stood to gain from increased settlement of wealthy Jews and their participation in economic activities, and her own deeply ingrained enmity toward the Jews. A special decree was issued in 1749 encouraging Jews to found manufacturing establishments. The Judenordnung of 1753 regulated all aspects of Jewish public and private life, and was based on full judicial autonomy for the communities. At this time some Jewish financiers and industrialists, such as Nathan von *Arnstein, Lazar Auspitz, Bernhard *Eskeles, Israel *Hoenigsberg, and Abraham *Wetzlar, moved to Vienna, having the status of ""Tolerierte"" (tolerated) Jews. Some of them received titles for activities benefiting the Hapsburg Empire; many of their descendants left Judaism. The annexation of *Galicia in 1772 more than doubled the Jewish population of the monarchy, and inaugurated a continuous stream of migration from there, mainly to Vienna.",,,,,,,,,,,,,,,,,
1750,"Rome, Italy",P,,,,,,,,,,,,,,,,,,,,,
1751,"Leghorn, Italy",P,,,,,,,,,,,,,,,,,,,,,
1753,"Rome, Italy",P,,,,,,,,,,,,,,,,,,,,,
1753,"Kovard, Lithuania",P,,,,,,,,,,,,,,,,,,,,,
1753,"Kaunas, Lithuania",P,,,,,,,,,,,,,,,,,,,,,
1753,"Volhynia, Lithuania",P,,,,,,,,,,,,,,,,,,,,,
1753,"Verona, Italy",P,,,,,,,,,,,,,,,,,,,,,
1753,Britain,,,,,Jewish Naturalisation Act,,,,,,,,,,,,,,,,,
1753,Austria,,,,,"The Jewish policy of Maria Theresa (1740–80) wavered between the mercantilism which stood to gain from increased settlement of wealthy Jews and their participation in economic activities, and her own deeply ingrained enmity toward the Jews. A special decree was issued in 1749 encouraging Jews to found manufacturing establishments. The Judenordnung of 1753 regulated all aspects of Jewish public and private life, and was based on full judicial autonomy for the communities. At this time some Jewish financiers and industrialists, such as Nathan von *Arnstein, Lazar Auspitz, Bernhard *Eskeles, Israel *Hoenigsberg, and Abraham *Wetzlar, moved to Vienna, having the status of ""Tolerierte"" (tolerated) Jews. Some of them received titles for activities benefiting the Hapsburg Empire; many of their descendants left Judaism. The annexation of *Galicia in 1772 more than doubled the Jewish population of the monarchy, and inaugurated a continuous stream of migration from there, mainly to Vienna. (JVL)",1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,1
1754,Britain,P,,,,,,,,,,,,,,,,,,,,,
1754,"Ferrara, Italy",P,,,,,,,,,,,,,,,,,,,,,
1755,"Bragança, Portugal",P,,,,,,,,,,,,,,,,,,,,,
1757,"Florence, Italy",,,,,"Under the rule of the House of Lorraine, Jews obtain the right to the keys to the ghetto of Florence, and are granted the right to perform certain trades, e.g. silverwork, hitherto prohibited.",,,,,,,,,,,,,,,,,
1758,"Parma, Italy",P,,,,,,,,,,,,,,,,,,,,,
1758,"Busseto, Italy",P,,,,,,,,,,,,,,,,,,,,,
1761,"Kaunas, Lithuania",,,,,"The Jews of Kaunas are expelled after anti-Jewish riots.[169] Wars in the 1700s left parts of Kaunas in ruins, which Jews bought and rebuilt. Expulsions occurred in 1753 and 1761, with the latter being reversed by a royal court order. https://collections.yadvashem.org/en/places/5428050|Jews Expelled (https://www.jewishvirtuallibrary.org/kaunas).|The Jews were again expelled in 1761, when there were anti-Jewish riots.(JVL)",1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,
1761,"Kaunas, Lithuania",P,,,,,,,,,,,,,,,,,,,,,
1761,"Bordeaux, France",P,,,,,,,,,,,,,,,,,,,,,
1761,"Alsace, France",P,,,,,,,,,,,,,,,,,,,,,
1761,"Moldovia, Romania",,,,,"From the beginning of the 18th century, the Moldavian rulers granted special charters to attract Jews. While still in Poland they were told about the advantages offered (exemption from taxes, ground for prayer houses, ritual baths, and cemeteries). They were invited either to reestablish war-ravaged towns (1761, Suceava) or to enlarge others (1796, Focsani). The newcomers were encouraged by the landowners to found commercial centers, the so-called burgs. Among the privileges offered was the right to be represented on the local council. In some cases, they undertook to attract other Jews from over the borders. When two counties of Moldavia were annexed by their neighbors (Bukovina by Austria in 1775 and Bessarabia by Russia in 1812), the Jews from these countries preferred to move to Romanian Moldavia, where they were not harassed by the authorities and had both family and business connections. Jewish merchants exported leather, cattle, and corn. Many of the Jews were craftsmen, such as furriers, tailors, bootmakers, tinsmiths, and watchmakers.",,,,,,,,,,,,,,,,,
1761,"Lubeck, Germany",P,,,,,,,,,,,,,,,,,,,,,
1762,"Rhode Island, USA",P,,,,,,,,,,,,,,,,,,,,,
1763,"Sunderland, England",,,,,"Since in the 18th century Sunderland was a coal port of some importance, trading with Holland, Scandinavia, and Danzig, it attracted Jewish settlers from Holland, Bohemia (after foreign Jews were expelled in 1763), and Poland (between 1760 and 1780). (JVL)",,,,,,,,,,,,,,,,,
1763,Bohemia (modern day Czech Republic),P,,,,,,,,,,,,,,,,,,,,,
1766,"Rome, Italy",P,,,,,,,,,,,,,,,,,,,,,
1766,"Toruń, Poland",P,,,,,,,,,,,,,,,,,,,,,
1767,"Modena, Italy",P,,,,,,,,,,,,,,,,,,,,,
1768,"Uman, Ukraine",P,,,,,,,,,,,,,,,,,,,,,
1768,Poland,P,,,,,,,,,,,,,,,,,,,,,
1768,Kiev,P,,,,,,,,,,,,,,,,,,,,,
1770,"Correggio, Italy",P,,,,,,,,,,,,,,,,,,,,,
1772,Poland,P,,,,,,,,,,,,,,,,,,,,,
1772,Russia,P,,,,,,,,,,,,,,,,,,,,,
1772,"Galicia, Spain",,,,,"The Jewish policy of Maria Theresa (1740–80) wavered between the mercantilism which stood to gain from increased settlement of wealthy Jews and their participation in economic activities, and her own deeply ingrained enmity toward the Jews. A special decree was issued in 1749 encouraging Jews to found manufacturing establishments. The Judenordnung of 1753 regulated all aspects of Jewish public and private life, and was based on full judicial autonomy for the communities. At this time some Jewish financiers and industrialists, such as Nathan von *Arnstein, Lazar Auspitz, Bernhard *Eskeles, Israel *Hoenigsberg, and Abraham *Wetzlar, moved to Vienna, having the status of ""Tolerierte"" (tolerated) Jews. Some of them received titles for activities benefiting the Hapsburg Empire; many of their descendants left Judaism. The annexation of *Galicia in 1772 more than doubled the Jewish population of the monarchy, and inaugurated a continuous stream of migration from there, mainly to Vienna.",,,,,,,,,,,,,,,,,
